Year,Date,Elevation,Time,Sex,SVL,Tbody,Gravid,Tsurface,Tair
2020,2020/6/29,3400m,10,F,3.2,34.5,NO,35.5,16.7
2020,2020/6/29,3400m,10,F,5.7,34.1,NO,34.9,17.7
2020,2020/6/29,3400m,10,F,4.2,33.8,NO,29.4,21.5
2020,2020/6/29,3400m,10,M,5.1,31.9,NO,26.8,16.3
2020,2020/6/29,3400m,10,F,3.4,36.6,NO,31.4,19.5
2020,2020/6/29,3400m,10,M,5.3,35,NO,34.3,20.8
2020,2020/6/29,3400m,10,F,4.9,36,NO,33.4,20.6
2020,2020/6/29,3400m,10,M,5,37.7,NO,33.6,20.3
2020,2020/6/29,3400m,10,F,3.2,33,NO,37.2,21.9
2020,2020/6/29,3400m,10,M,5.5,35.5,NO,25.2,19.6
2020,2020/6/29,3400m,10,F,4.2,37.4,NO,42.6,23.6
2020,2020/6/29,3400m,10,F,6.5,32.7,NO,25,13.5
2020,2020/6/29,3400m,10,F,4.5,33.5,NO,30,18.6
2020,2020/6/29,3400m,10,F,5.2,35.6,NO,29.6,20.1
2020,2020/6/29,3400m,10,M,5.8,36.2,NO,32.7,18.5
2020,2020/6/29,3400m,10,F,6.3,33.5,NO,32,18.5
2020,2020/6/29,3400m,10,M,3.8,37.5,NO,29.3,19.8
2020,2020/6/29,3400m,10,F,4.2,36.3,NO,29.3,19.8
2020,2020/6/29,3400m,10,F,5.2,31.4,NO,31.8,13.4
2020,2020/7/25,3400m,11,M,5,35.7,NO,24.5,15.6
2020,2020/7/25,3400m,11,M,5.1,36.5,NO,27.2,14.4
2020,2020/7/25,3400m,11,F,2.9,31.4,NO,21.6,13.6
2020,2020/7/25,3400m,11,F,3.7,33.4,NO,27.5,13.2
2020,2020/7/25,3400m,11,M,5.5,36.1,NO,29.4,16.7
2020,2020/7/25,3400m,11,M,4.9,36.4,NO,21.9,17
2020,2020/7/25,3400m,11,M,5.4,36.3,NO,26.7,15.2
2020,2020/7/25,3400m,11,M,5.6,35,NO,27.6,15.4
2020,2020/7/25,3400m,11,M,4.4,34,NO,26.6,15.6
2020,2020/7/25,3400m,11,F,5.8,34.9,YES,28.8,19.1
2020,2020/7/25,3400m,11,M,4.2,34.7,NO,27.1,21.2
2020,2020/7/25,3400m,11,F,5.1,35.9,NO,25.1,18.3
